domain,experiment_name,coverage,avg_solution_size
AssemblyHierarchical,LMCOUNTu,3,15.00
AssemblyHierarchical,NOVELTY-LMCOUNTu,3,12.33
Barman-BDI,LMCOUNTu,20,152.15
Barman-BDI,NOVELTY-LMCOUNTu,20,152.15
Blocksworld-GTOHP,LMCOUNTu,28,953.07
Blocksworld-GTOHP,NOVELTY-LMCOUNTu,17,171.76
Blocksworld-HPDDL,LMCOUNTu,21,338.76
Blocksworld-HPDDL,NOVELTY-LMCOUNTu,21,338.67
Childsnack,LMCOUNTu,9,61.22
Childsnack,NOVELTY-LMCOUNTu,9,61.22
Depots,LMCOUNTu,24,88.12
Depots,NOVELTY-LMCOUNTu,24,88.12
Factories-simple,LMCOUNTu,5,124.80
Factories-simple,NOVELTY-LMCOUNTu,5,124.80
Logistics-Learned-ECAI-16,LMCOUNTu,34,248.18
Logistics-Learned-ECAI-16,NOVELTY-LMCOUNTu,30,200.60
Minecraft-Regular,LMCOUNTu,44,303.23
Minecraft-Regular,NOVELTY-LMCOUNTu,44,303.23
Monroe-Fully-Observable,LMCOUNTu,20,27.15
Monroe-Fully-Observable,NOVELTY-LMCOUNTu,20,27.35
Monroe-Partially-Observable,LMCOUNTu,3,9.33
Monroe-Partially-Observable,NOVELTY-LMCOUNTu,4,14.75
Multiarm-Blocksworld,LMCOUNTu,14,56.79
Multiarm-Blocksworld,NOVELTY-LMCOUNTu,14,56.79
Robot,LMCOUNTu,11,16.27
Robot,NOVELTY-LMCOUNTu,11,16.27
Rover-GTOHP,LMCOUNTu,18,164.06
Rover-GTOHP,NOVELTY-LMCOUNTu,19,174.37
Satellite-GTOHP,LMCOUNTu,6,96.33
Satellite-GTOHP,NOVELTY-LMCOUNTu,10,139.90
Snake,LMCOUNTu,2,27.50
Snake,NOVELTY-LMCOUNTu,2,27.50
Towers,LMCOUNTu,11,371.18
Towers,NOVELTY-LMCOUNTu,11,371.18
