domain,experiment_name,coverage,avg_solution_size,avg_expanded_nodes
Barman-BDI,lmcount,16,79.62,573880.50
Barman-BDI,Novelty-lm-f-t,15,67.27,627574.20
Barman-BDI,Novelty-lm-tdg-f-t,17,114.06,21267.82
Blocksworld-GTOHP,lmcount,26,481.12,12922.35
Blocksworld-GTOHP,Novelty-lm-f-t,19,186.37,185965.11
Blocksworld-GTOHP,Novelty-lm-tdg-f-t,26,327.58,2207.73
Blocksworld-HPDDL,Novelty-lm-f-t,17,222.88,519515.82
Blocksworld-HPDDL,Novelty-lm-tdg-f-t,9,119.78,182917.78
Blocksworld-HPDDL,lmcount,5,68.60,594829.60
Childsnack,lmcount,5,55.00,2618.20
Childsnack,Novelty-lm-f-t,5,55.00,2618.20
Childsnack,Novelty-lm-tdg-f-t,5,55.00,2618.20
Depots,lmcount,23,75.04,3652.48
Depots,Novelty-lm-f-t,25,106.08,33458.56
Depots,Novelty-lm-tdg-f-t,25,105.20,1954.64
Factories-simple,lmcount,1,311.00,621590.00
Factories-simple,Novelty-lm-f-t,1,309.00,728644.00
Factories-simple,Novelty-lm-tdg-f-t,1,309.00,48420.00
